from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:71412,ATB:ServiceJourney:311_241021121642549_54,NSR:Quay:71412,ATB:ServiceJourney:340_241205091485574_18,1
NSR:Quay:76289,ATB:ServiceJourney:680_241205091488295_32,NSR:Quay:76289,ATB:ServiceJourney:695_250228115414423_14,1
NSR:Quay:74037,ATB:ServiceJourney:75_250224146824978_90,NSR:Quay:74037,ATB:ServiceJourney:77_241111133696500_9,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085383065_7001,NSR:Quay:72888,ATB:ServiceJourney:82_241107118795328_7001,1
NSR:Quay:74982,ATB:ServiceJourney:1_250113084167454_6021,NSR:Quay:74982,ATB:ServiceJourney:44_250113084169127_6006,1
NSR:Quay:74192,ATB:ServiceJourney:72_250228142139044_16,NSR:Quay:74192,ATB:ServiceJourney:73_240516085572746_13,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577164_99,NSR:Quay:72888,ATB:ServiceJourney:82_241107118792271_115,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658069_7085,NSR:Quay:74982,ATB:ServiceJourney:44_250131110663488_7034,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658048_7043,NSR:Quay:74982,ATB:ServiceJourney:41_250131110660667_7016,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577736_200,NSR:Quay:72946,ATB:ServiceJourney:46_240516085572910_80,1
NSR:Quay:74037,ATB:ServiceJourney:77_241111133697205_16,NSR:Quay:74037,ATB:ServiceJourney:75_241111133508237_17,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577778_6098,NSR:Quay:72946,ATB:ServiceJourney:78_240516085573070_6042,1
NSR:Quay:74037,ATB:ServiceJourney:77_241111133699230_26,NSR:Quay:74037,ATB:ServiceJourney:75_241111133507971_27,1
NSR:Quay:74982,ATB:ServiceJourney:1_240516085577472_7095,NSR:Quay:74982,ATB:ServiceJourney:41_240912065856487_7042,1
NSR:Quay:72888,ATB:ServiceJourney:71_250131110657952_6057,NSR:Quay:72888,ATB:ServiceJourney:82_241107118766529_6060,1
NSR:Quay:74804,ATB:ServiceJourney:5101_241205091487900_2,NSR:Quay:74804,ATB:ServiceJourney:310_241205091489239_33,1
NSR:Quay:74804,ATB:ServiceJourney:420_250315139868566_6001,NSR:Quay:74804,ATB:ServiceJourney:310_241021121639226_6005,1
NSR:Quay:78878,ATB:ServiceJourney:7503_250212077046304_2,NSR:Quay:78420,ATB:ServiceJourney:640_241205091486468_4,1
NSR:Quay:71982,ATB:ServiceJourney:1_250131110658293_176,NSR:Quay:71982,ATB:ServiceJourney:74_240516085572797_28,1
